variant_name,prediction,seed,compat_N,well_mixed,payoff_preset,payoff_T,payoff_R,payoff_P,payoff_S,evolution_on,mutation_rate,fermi_k,evolution_interval,dunbar_limit,vision_radius,player_speed,end_cycle,share_TFT,share_ALLC,share_ALLD,share_FTFT,share_TF2T,share_GRIM,share_WSLS,d_share,exploit_last_window,payoff_ALLD,payoff_TFT,payoff_all,known_partners,distinct_partners,games_per_partner,exceeding_dunbar,fixated,stabilized,stabilized_at,nb_character_changes
S1_P3_wellmixed,P3,2121129191,200,True,snowdrift,4.0,3.0,0.0,2.0,False,0.0,0.5,100,0,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.36207241412499475,0.0,0.017469213212266545,2.398498642488833,1.92229275663352,199.0,199.0,183.9064824120603,0.0,False,True,11000,0
S1_P3_wellmixed,P3,686818433,200,True,snowdrift,4.0,3.0,0.0,2.0,False,0.0,0.5,100,0,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.3614222381441597,0.0,0.017486752072993474,2.399326399488678,1.9229584700055407,199.0,199.0,183.91708542713567,0.0,False,True,11000,0
S1_P3_wellmixed,P3,744720527,200,True,snowdrift,4.0,3.0,0.0,2.0,False,0.0,0.5,100,0,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.3594330322308847,0.0,0.01748360829612036,2.3986086857956397,1.922383670295736,199.0,199.0,183.93974874371867,0.0,False,True,11000,0
S1_P3_wellmixed,P3,381425458,200,True,snowdrift,4.0,3.0,0.0,2.0,False,0.0,0.5,100,0,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.36116978252670157,0.0,0.017485292473012438,2.399016888645404,1.9227105694109248,199.0,199.0,183.9241708542713,0.0,False,True,11000,0
S1_P3_wellmixed,P3,2121129191,200,True,PD_classic,9.0,5.0,1.0,0.0,False,0.0,0.5,100,5,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.201043318123351,0.32205834152736806,7.430785857919415,3.9938534780976416,4.681239954061995,5.0,199.0,183.9064824120603,1.0,False,True,11000,0
S1_P3_wellmixed,P3,686818433,200,True,PD_classic,9.0,5.0,1.0,0.0,False,0.0,0.5,100,5,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.20026448111751863,0.32231576532033807,7.430500630857477,3.995234245142008,4.682287522285104,5.0,199.0,183.91708542713567,1.0,False,True,11000,0
S1_P3_wellmixed,P3,1620985466,200,True,snowdrift,4.0,3.0,0.0,2.0,False,0.0,0.5,100,0,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.36048265787510253,0.0,0.017487646922487058,2.3991584263241466,1.922824270443815,199.0,199.0,183.89462311557784,0.0,False,True,11000,0
S1_P3_wellmixed,P3,744720527,200,True,PD_classic,9.0,5.0,1.0,0.0,False,0.0,0.5,100,5,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.19922379852645186,0.3204233822468126,7.437715793145046,3.994038451050503,4.682773919469411,5.0,199.0,183.93974874371867,1.0,False,True,11000,0
S1_P3_wellmixed,P3,381425458,200,True,PD_classic,9.0,5.0,1.0,0.0,False,0.0,0.5,100,5,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.20052310085367792,0.32129288997972,7.433488132332451,3.9947184883999287,4.682472417186435,5.0,199.0,183.9241708542713,1.0,False,True,11000,0
S1_P3_wellmixed,P3,1620985466,200,True,PD_classic,9.0,5.0,1.0,0.0,False,0.0,0.5,100,5,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.19950127527792144,0.32196164377572156,7.431732947697586,3.9949537885376594,4.6823096203696455,5.0,199.0,183.89462311557784,1.0,False,True,11000,0
S1_P3_wellmixed,P3,686818433,200,True,weak_PD,1.6,1.0,0.0,0.0,False,0.0,0.5,100,5,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.20026448111751863,0.32231576532033807,1.2861001261708047,0.7990468490284017,0.8964575044568829,5.0,199.0,183.91708542713567,1.0,False,True,11000,0
S1_P3_wellmixed,P3,2121129191,200,True,weak_PD,1.6,1.0,0.0,0.0,False,0.0,0.5,100,5,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.201043318123351,0.32205834152736806,1.2861571715831914,0.7987706956195282,0.8962479908122607,5.0,199.0,183.9064824120603,1.0,False,True,11000,0
S1_P3_wellmixed,P3,744720527,200,True,weak_PD,1.6,1.0,0.0,0.0,False,0.0,0.5,100,5,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.19922379852645186,0.3204233822468126,1.287543158628317,0.7988076902101009,0.8965547838937441,5.0,199.0,183.93974874371867,1.0,False,True,11000,0
