variant_name,prediction,seed,compat_N,well_mixed,payoff_preset,payoff_T,payoff_R,payoff_P,payoff_S,evolution_on,mutation_rate,fermi_k,evolution_interval,dunbar_limit,vision_radius,player_speed,end_cycle,share_TFT,share_ALLC,share_ALLD,share_FTFT,share_TF2T,share_GRIM,share_WSLS,d_share,exploit_last_window,payoff_ALLD,payoff_TFT,payoff_all,known_partners,distinct_partners,games_per_partner,exceeding_dunbar,fixated,stabilized,alld_trend_10k,nb_character_changes,network_variant,net_nodes,net_edges,net_mean_degree,net_avg_path,net_density,net_betw_max,net_betw_mean,enc_share_remembered,enc_share_ever,enc_distinct
PM2_P3_wellmixed,P3,1620985466,200,True,PD_classic,9.0,5.0,1.0,0.0,False,0.0,0.5,100,0,30,0.1,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.36048265787510253,0.0,1.034975293844974,4.194869954229349,3.5628910221524746,199.0,199.0,183.89462311557784,0.0,False,True,7.153272700316907e-15,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,198.99
PM2_P3_wellmixed,P3,1669164794,200,True,PD_classic,9.0,5.0,1.0,0.0,False,0.0,0.5,100,0,30,0.1,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.3612903687546457,0.0,1.0350015137093023,4.195023715079586,3.5630192748055274,199.0,199.0,183.90085427135685,0.0,False,True,7.153272700316907e-15,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,199.0
PM2_P12_wellmixed,P1P2,433399445,200,True,snowdrift,4.0,3.0,0.0,2.0,True,0.01,0.5,100,0,30,0.1,100000,0.003,0.6615,0.3075,0.0045000000000000005,0.0034999999999999996,0.005,0.015000000000000003,0.31736818592496774,0.4259930359228494,2.679882740936607,0.0,2.6794992680158116,199.0,199.0,919.5953768844222,0.0,False,True,-0.00041400165600717333,51684,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,198.99
PM2_P3_wellmixed,P3,798359651,200,True,PD_classic,9.0,5.0,1.0,0.0,False,0.0,0.5,100,0,30,0.1,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.3614905863138341,0.0,1.0349990017224227,4.195284995103068,3.563227796426938,199.0,199.0,183.87201005025128,0.0,False,True,7.153272700316907e-15,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,198.99
PM2_P3_wellmixed,P3,126337246,200,True,PD_classic,9.0,5.0,1.0,0.0,False,0.0,0.5,100,0,30,0.1,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.36116408550291396,0.0,1.0349690049235765,4.194672926156731,3.562732141910101,199.0,199.0,183.89396984924628,0.0,False,True,7.153272700316907e-15,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,198.99
PM2_P3_wellmixed,P3,317149051,200,True,PD_classic,9.0,5.0,1.0,0.0,False,0.0,0.5,100,0,30,0.1,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.36145533448210043,0.0,1.0349705022556377,4.195154504243359,3.5631177038458133,199.0,199.0,183.9088442211055,0.0,False,True,7.153272700316907e-15,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,198.98
PM2_P3_wellmixed,P3,433399445,200,True,PD_classic,9.0,5.0,1.0,0.0,False,0.0,0.5,100,0,30,0.1,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.3590852844168685,0.0,1.0349656345606804,4.193756903322854,3.561998649570418,199.0,199.0,183.93211055276387,0.0,False,True,7.153272700316907e-15,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,198.99
PM2_P3_wellmixed,P3,2121129191,200,True,snowdrift,4.0,3.0,0.0,2.0,False,0.0,0.5,100,0,30,0.1,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.36207241412499475,0.0,0.017469213212266545,2.398498642488833,1.92229275663352,199.0,199.0,183.9064824120603,0.0,False,True,7.153272700316907e-15,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,198.99
PM2_P3_wellmixed,P3,686818433,200,True,snowdrift,4.0,3.0,0.0,2.0,False,0.0,0.5,100,0,30,0.1,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.3614222381441597,0.0,0.017486752072993474,2.399326399488678,1.9229584700055407,199.0,199.0,183.91708542713567,0.0,False,True,7.153272700316907e-15,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,198.98
PM2_P3_wellmixed,P3,744720527,200,True,snowdrift,4.0,3.0,0.0,2.0,False,0.0,0.5,100,0,30,0.1,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.3594330322308847,0.0,0.01748360829612036,2.3986086857956397,1.922383670295736,199.0,199.0,183.93974874371867,0.0,False,True,7.153272700316907e-15,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,199.0
